.worktrees/dependency-hygiene-nuget-vulnerabilities	a0047b8	dependency-hygiene/nuget-vulnerabilities	NOT_ANC	mod=0;unt=0	ab=281/1	uq=0	2026-07-01 09:34:32 -0400|Fix cryptography XML package vulnerability
.worktrees/gtm-source-truth-20260905	2b451da	lead/gtm-source-truth-20260905	ANC	mod=0;unt=0	ab=3/0	uq=0	2026-09-05 06:53:49 -0400|docs(research): hold wave 006 candidates after source re-review
.worktrees/gtm-wave006-20260905	910cc4a	gtm/wave-006-rereview-2026-09-05	ANC	mod=0;unt=0	ab=3/0	uq=0	2026-09-05 07:10:05 -0400|docs(research): hold wave 006 after independent re-review
.worktrees/pr150-cli-hardening	36bc7ca	codex/protocol-operations-cli-hardening	ANC	mod=0;unt=0	ab=248/0	uq=0	2026-07-04 10:20:00 -0400|Harden verifier CLI arguments
.worktrees/pr151-negative-fixtures	accdd9c	codex/protocol-operations-negative-fixtures	ANC	mod=1;unt=0	ab=248/0	uq=0	2026-07-04 10:27:25 -0400|Add offline negative fixture matrix
.worktrees/pr152-offline-kit-docs	eb914c0	codex/protocol-operations-offline-kit-docs	ANC	mod=0;unt=0	ab=248/0	uq=0	2026-07-04 10:19:37 -0400|docs: expand offline kit README
.worktrees/pr154-offline-release-checklist	e5a5fee	codex/protocol-operations-offline-release-checklist	ANC	mod=0;unt=0	ab=240/0	uq=0	2026-07-04 11:55:30 -0400|docs: add offline verification release checklist
.worktrees/pr155-cli-result-json	e1da53e	codex/protocol-operations-cli-result-json	ANC	mod=0;unt=0	ab=240/0	uq=0	2026-07-04 11:56:04 -0400|feat: add offline verifier result json mode
.worktrees/pr156-dependency-boundary-guard	f5fdac7	codex/protocol-operations-dependency-boundary-guard	ANC	mod=0;unt=0	ab=240/0	uq=0	2026-07-04 11:56:36 -0400|test: add offline verification dependency guard
.worktrees/pr157-auditor-packet-design-note	b3f4bf7	codex/protocol-operations-auditor-packet-design-note	ANC	mod=0;unt=0	ab=234/0	uq=0	2026-07-04 14:22:22 -0400|docs: add offline verification auditor packet design note
.worktrees/protocol-operations-export-bundle-offline-verification-cli-foundation	15f5f87	codex/protocol-operations-export-bundle-offline-verification-cli-foundation	ANC	mod=0;unt=0	ab=262/0	uq=0	2026-07-03 08:48:57 -0400|add protocol operations export bundle verification cli foundation
.worktrees/track-c-production-ops	5e0d0ea	codex/track-c-production-ops-20260728	NOT_ANC	mod=0;unt=0	ab=47/9	uq=9	2026-07-28 19:55:01 -0400|test: add disposable staging verifier
worktrees/analyzer-premium-redesign	649b253	worktree-analyzer-premium-redesign	NOT_ANC	mod=0;unt=1	ab=314/21	uq=20	2026-06-12 19:25:08 -0400|test(analyzer): deterministic v3-migration assertion + clear/analysis-started coverage
worktrees/feat+go-live-hardening	4d5ae0a	worktree-feat+go-live-hardening	NOT_ANC	mod=0;unt=0	ab=402/30	uq=30	2026-05-09 10:15:09 -0400|docs: add go-live hardening implementation plan
worktrees/frontend-readiness-remediation	ad056ea	worktree-frontend-readiness-remediation	ANC	mod=0;unt=0	ab=171/0	uq=0	2026-07-06 10:27:47 -0400|feat(frontend): surface benefits and drug interactions in compound dossier
